screening_round,plate_id,well,variant_id,control_type
0,P000,A1,,blank
0,P000,A2,WT,sample
0,P000,A3,,positive
0,P000,A4,WT,sample
0,P000,A5,,negative
0,P000,A6,WT,sample
1,P001,A1,,blank
1,P001,A2,R1_01,sample
1,P001,A3,R1_02,sample
1,P001,A4,R1_03,sample
1,P001,A5,R1_04,sample
1,P001,A6,R1_05,sample
1,P001,A7,R1_06,sample
1,P001,A8,R1_07,sample
1,P001,A9,R1_08,sample
1,P001,A10,R1_09,sample
1,P001,A11,R1_10,sample
1,P001,A12,R1_11,sample
1,P001,B1,R1_12,sample
1,P001,B2,,positive
1,P001,B3,R1_01,sample
1,P001,B4,R1_02,sample
1,P001,B5,R1_03,sample
1,P001,B6,R1_04,sample
1,P001,B7,R1_05,sample
1,P001,B8,R1_06,sample
1,P001,B9,R1_07,sample
1,P001,B10,R1_08,sample
1,P001,B11,R1_09,sample
1,P001,B12,R1_10,sample
1,P001,C1,R1_11,sample
1,P001,C2,R1_12,sample
1,P001,C3,,negative
1,P001,C4,R1_01,sample
1,P001,C5,R1_02,sample
1,P001,C6,R1_03,sample
1,P001,C7,R1_04,sample
1,P001,C8,R1_05,sample
1,P001,C9,R1_06,sample
1,P001,C10,R1_07,sample
1,P001,C11,R1_08,sample
1,P001,C12,R1_09,sample
1,P001,D1,R1_10,sample
1,P001,D2,R1_11,sample
1,P001,D3,R1_12,sample
2,P002,A1,,blank
2,P002,A2,R2_01,sample
2,P002,A3,R2_02,sample
2,P002,A4,R2_03,sample
2,P002,A5,R2_04,sample
2,P002,A6,R2_05,sample
2,P002,A7,R2_06,sample
2,P002,A8,R2_07,sample
2,P002,A9,R2_08,sample
2,P002,A10,,positive
2,P002,A11,R2_01,sample
2,P002,A12,R2_02,sample
2,P002,B1,R2_03,sample
2,P002,B2,R2_04,sample
2,P002,B3,R2_05,sample
2,P002,B4,R2_06,sample
2,P002,B5,R2_07,sample
2,P002,B6,R2_08,sample
2,P002,B7,,negative
2,P002,B8,R2_01,sample
2,P002,B9,R2_02,sample
2,P002,B10,R2_03,sample
2,P002,B11,R2_04,sample
2,P002,B12,R2_05,sample
2,P002,C1,R2_06,sample
2,P002,C2,R2_07,sample
2,P002,C3,R2_08,sample
