Plate ID,Well,Variant ID,Replicate,Signal,Control Type,Screening Round
P000,A1,,1,10.0,blank,0
P000,A2,WT,2,210.415,sample,0
P000,A3,,1,210.0,positive,0
P000,A4,WT,2,210.415,sample,0
P000,A5,,1,20.0,negative,0
P000,A6,WT,2,210.415,sample,0
P001,A1,,1,10.0,blank,1
P001,A2,R1_01,2,210.595,sample,1
P001,A3,R1_02,2,210.625,sample,1
P001,A4,R1_03,2,210.585,sample,1
P001,A5,R1_04,2,210.615,sample,1
P001,A6,R1_05,2,210.835,sample,1
P001,A7,R1_06,2,210.875,sample,1
P001,A8,R1_07,2,210.135,sample,1
P001,A9,R1_08,2,210.195,sample,1
P001,A10,R1_09,2,210.285,sample,1
P001,A11,R1_10,2,210.475,sample,1
P001,A12,R1_11,2,210.445,sample,1
P001,B1,R1_12,2,210.535,sample,1
P001,B2,,1,210.0,positive,1
P001,B3,R1_01,2,210.595,sample,1
P001,B4,R1_02,2,210.625,sample,1
P001,B5,R1_03,2,210.585,sample,1
P001,B6,R1_04,2,210.615,sample,1
P001,B7,R1_05,2,210.835,sample,1
P001,B8,R1_06,2,210.875,sample,1
P001,B9,R1_07,2,210.135,sample,1
P001,B10,R1_08,2,210.195,sample,1
P001,B11,R1_09,2,210.285,sample,1
P001,B12,R1_10,2,210.475,sample,1
P001,C1,R1_11,2,210.445,sample,1
P001,C2,R1_12,2,210.535,sample,1
P001,C3,,1,20.0,negative,1
P001,C4,R1_01,2,210.595,sample,1
P001,C5,R1_02,2,210.625,sample,1
P001,C6,R1_03,2,210.585,sample,1
P001,C7,R1_04,2,210.615,sample,1
P001,C8,R1_05,2,210.835,sample,1
P001,C9,R1_06,2,210.875,sample,1
P001,C10,R1_07,2,210.135,sample,1
P001,C11,R1_08,2,210.195,sample,1
P001,C12,R1_09,2,210.285,sample,1
P001,D1,R1_10,2,210.475,sample,1
P001,D2,R1_11,2,210.445,sample,1
P001,D3,R1_12,2,210.535,sample,1
P002,A1,,1,10.0,blank,2
P002,A2,R2_01,2,210.925,sample,2
P002,A3,R2_02,2,210.955,sample,2
P002,A4,R2_03,2,210.875,sample,2
P002,A5,R2_04,2,210.815,sample,2
P002,A6,R2_05,2,210.975,sample,2
P002,A7,R2_06,2,210.985,sample,2
P002,A8,R2_07,2,210.775,sample,2
P002,A9,R2_08,2,210.485,sample,2
P002,A10,,1,210.0,positive,2
P002,A11,R2_01,2,210.925,sample,2
P002,A12,R2_02,2,210.955,sample,2
P002,B1,R2_03,2,210.875,sample,2
P002,B2,R2_04,2,210.815,sample,2
P002,B3,R2_05,2,210.975,sample,2
P002,B4,R2_06,2,210.985,sample,2
P002,B5,R2_07,2,210.775,sample,2
P002,B6,R2_08,2,210.485,sample,2
P002,B7,,1,20.0,negative,2
P002,B8,R2_01,2,210.925,sample,2
P002,B9,R2_02,2,210.955,sample,2
P002,B10,R2_03,2,210.875,sample,2
P002,B11,R2_04,2,210.815,sample,2
P002,B12,R2_05,2,210.975,sample,2
P002,C1,R2_06,2,210.985,sample,2
P002,C2,R2_07,2,210.775,sample,2
P002,C3,R2_08,2,210.485,sample,2
