plate_id,well,variant_id,replicate,signal,control_type,screening_round,source_file,blank_mean,positive_mean,negative_mean,positive_corrected,n_blank,n_positive,n_negative,n_sample,background_corrected,normalized_signal
P000,A4,WT,1,87.0,sample,0,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,2,77.0,0.385
P000,A5,WT,2,93.0,sample,0,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,2,83.0,0.415
P001,A4,R1_01,1,123.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,113.0,0.565
P001,A5,R1_01,2,129.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,119.0,0.595
P001,A6,R1_02,1,129.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,119.0,0.595
P001,A7,R1_02,2,135.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,125.0,0.625
P001,A8,R1_03,1,121.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,111.0,0.555
P001,A9,R1_03,2,127.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,117.0,0.585
P001,A10,R1_04,1,127.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,117.0,0.585
P001,A11,R1_04,2,133.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,123.0,0.615
P001,A12,R1_05,1,171.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,161.0,0.805
P001,B1,R1_05,2,177.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,167.0,0.835
P001,B2,R1_06,1,179.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,169.0,0.845
P001,B3,R1_06,2,185.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,175.0,0.875
P001,B4,R1_07,1,31.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,21.0,0.105
P001,B5,R1_07,2,37.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,27.0,0.135
P001,B6,R1_08,1,43.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,33.0,0.165
P001,B7,R1_08,2,49.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,39.0,0.195
P001,B8,R1_09,1,61.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,51.0,0.255
P001,B9,R1_09,2,67.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,57.0,0.285
P001,B10,R1_10,1,99.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,89.0,0.445
P001,B11,R1_10,2,105.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,95.0,0.475
P001,B12,R1_11,1,93.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,83.0,0.415
P001,C1,R1_11,2,99.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,89.0,0.445
P001,C2,R1_12,1,111.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,101.0,0.505
P001,C3,R1_12,2,117.0,sample,1,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,24,107.0,0.535
P002,A4,R2_01,1,189.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,179.0,0.895
P002,A5,R2_01,2,195.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,185.0,0.925
P002,A6,R2_02,1,195.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,185.0,0.925
P002,A7,R2_02,2,201.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,191.0,0.955
P002,A8,R2_03,1,179.0,sample,2,processed_plate_results.csv,10.0,210.0,20.0,200.0,1,1,1,16,169.0,0.845
