plate_id,well,variant_id,replicate,signal,control_type,screening_round
P000,A1,,1,10.0,blank,0
P000,A2,,1,210.0,positive,0
P000,A3,,1,20.0,negative,0
P000,A4,WT,1,87.0,sample,0
P000,A5,WT,2,93.0,sample,0
P001,A1,,1,10.0,blank,1
P001,A2,,1,210.0,positive,1
P001,A3,,1,20.0,negative,1
P001,A4,R1_01,1,123.0,sample,1
P001,A5,R1_01,2,129.0,sample,1
P001,A6,R1_02,1,129.0,sample,1
P001,A7,R1_02,2,135.0,sample,1
P001,A8,R1_03,1,121.0,sample,1
P001,A9,R1_03,2,127.0,sample,1
P001,A10,R1_04,1,127.0,sample,1
P001,A11,R1_04,2,133.0,sample,1
P001,A12,R1_05,1,171.0,sample,1
P001,B1,R1_05,2,177.0,sample,1
P001,B2,R1_06,1,179.0,sample,1
P001,B3,R1_06,2,185.0,sample,1
P001,B4,R1_07,1,31.0,sample,1
P001,B5,R1_07,2,37.0,sample,1
P001,B6,R1_08,1,43.0,sample,1
P001,B7,R1_08,2,49.0,sample,1
P001,B8,R1_09,1,61.0,sample,1
P001,B9,R1_09,2,67.0,sample,1
P001,B10,R1_10,1,99.0,sample,1
P001,B11,R1_10,2,105.0,sample,1
P001,B12,R1_11,1,93.0,sample,1
P001,C1,R1_11,2,99.0,sample,1
P001,C2,R1_12,1,111.0,sample,1
P001,C3,R1_12,2,117.0,sample,1
P002,A1,,1,10.0,blank,2
P002,A2,,1,210.0,positive,2
P002,A3,,1,20.0,negative,2
P002,A4,R2_01,1,189.0,sample,2
P002,A5,R2_01,2,195.0,sample,2
P002,A6,R2_02,1,195.0,sample,2
P002,A7,R2_02,2,201.0,sample,2
P002,A8,R2_03,1,179.0,sample,2
P002,A9,R2_03,2,185.0,sample,2
P002,A10,R2_04,1,167.0,sample,2
P002,A11,R2_04,2,173.0,sample,2
P002,A12,R2_05,1,199.0,sample,2
P002,B1,R2_05,2,205.0,sample,2
P002,B2,R2_06,1,201.0,sample,2
P002,B3,R2_06,2,207.0,sample,2
P002,B4,R2_07,1,159.0,sample,2
P002,B5,R2_07,2,165.0,sample,2
P002,B6,R2_08,1,101.0,sample,2
P002,B7,R2_08,2,107.0,sample,2
